tick,x,y,robot_id,team
63,-1.49997,-1.12000,2,0
63,1.49997,-0.00000,1,1
63,1.49997,-1.12000,2,1
63,0.33360,0.31276,0,1
64,0.00000,0.00000,-1,-1
64,-0.03241,1.06364,0,0
64,-0.41541,-0.12800,1,0
64,-1.49997,-1.12000,2,0
64,1.49997,-0.00000,1,1
64,1.49997,-1.12000,2,1
64,0.31827,0.29692,0,1
65,0.00000,0.00000,-1,-1
65,-0.00050,1.06175,0,0
65,-0.39999,-0.12992,1,0
65,-1.49997,-1.12000,2,0
65,1.49997,0.00000,1,1
65,1.49997,-1.12000,2,1
65,0.30399,0.28099,0,1
66,0.00000,0.00000,-1,-1
66,0.03058,1.06050,0,0
66,-0.38494,-0.13178,1,0
66,-1.49997,-1.12000,2,0
66,1.49997,-0.00000,1,1
66,1.49997,-1.12000,2,1
66,0.29076,0.26497,0,1
67,0.00000,0.00000,-1,-1
67,0.06059,1.05927,0,0
67,-0.37027,-0.13357,1,0
67,-1.49997,-1.12000,2,0
67,1.49997,-0.00000,1,1
67,1.49997,-1.12000,2,1
67,0.27860,0.24890,0,1
68,0.00000,0.00000,-1,-1
68,0.08960,1.05795,0,0
68,-0.35596,-0.13530,1,0
68,-1.49997,-1.12000,2,0
68,1.49997,0.00000,1,1
68,1.49997,-1.12000,2,1
68,0.26750,0.23278,0,1
69,0.00000,0.00000,-1,-1
69,0.11765,1.05660,0,0
69,-0.34203,-0.13695,1,0
69,-1.49997,-1.12000,2,0
69,1.49997,0.00000,1,1
69,1.49997,-1.12000,2,1
69,0.25749,0.21670,0,1
70,0.00000,0.00000,-1,-1
70,0.17064,1.05318,0,0
70,-0.31595,-0.14042,1,0
70,-1.49997,-1.12000,2,0
70,1.49997,-0.00000,1,1
70,1.49997,-1.12000,2,1
70,0.24087,0.18626,0,1
71,0.00000,0.00000,-1,-1
71,0.19638,1.05119,0,0
71,-0.30272,-0.14180,1,0
71,-1.49997,-1.12000,2,0
71,1.49997,-0.00000,1,1
71,1.49997,-1.12000,2,1
71,0.23424,0.17176,0,1
72,0.00000,0.00000,-1,-1
72,0.22170,1.04933,0,0
72,-0.28987,-0.14310,1,0
72,-1.49997,-1.12000,2,0
72,1.49997,-0.00000,1,1
72,1.49997,-1.12000,2,1
72,0.22752,0.15738,0,1
73,0.00000,0.00000,-1,-1
73,0.24653,1.04794,0,0
73,-0.27770,-0.14441,1,0
73,-1.49997,-1.12000,2,0
73,1.49997,-0.00000,1,1
73,1.49997,-1.12000,2,1
73,0.22096,0.14337,0,1
74,0.00000,0.00000,-1,-1
74,0.27080,1.04705,0,0
74,-0.26601,-0.14566,1,0
74,-1.49997,-1.12000,2,0
74,1.49997,-0.00000,1,1
74,1.49997,-1.12000,2,1
74,0.21552,0.13021,0,1
75,0.00000,0.00000,-1,-1
75,0.29512,1.04617,0,0
